id,Name,Year,Kilometers_Driven,Location,Fuel_Type,Transmission,Engine,Power,Mileage,Seats,Owner_Type,New_Price,Price
1,Hyundai Verna 1.6 SX,2017,65593,Ahmedabad,Diesel,Manual,1582 CC,126.32 bhp,22.32 kmpl,5,First,,12.77
2,Hyundai i10 Era,2012,66095,Ahmedabad,Petrol,Manual,1086 CC,68.05 bhp,19.81 kmpl,5,Second,,5.09
3,Volkswagen Polo Petrol Comfortline 1.2L,2017,64961,Jaipur,Petrol,Manual,1198 CC,73.9 bhp,16.47 kmpl,5,Second,,10.05
4,Maruti Wagon R LXI,2009,55361,Ahmedabad,Petrol,Manual,998 CC,67.1 bhp,18.9 kmpl,5,Second,,3.76
5,Maruti Ritz ZXi,2017,58294,Mumbai,Petrol,Manual,1197 CC,85.80 bhp,18.5 kmpl,5,First,,7.26
6,Maruti Swift VDI BSIV,2015,20710,Chennai,Diesel,Manual,1248 CC,74 bhp,25.2 kmpl,5,First,,12.79
7,Volkswagen Vento Diesel Comfortline,2016,52708,Kochi,Diesel,Manual,1598 CC,103.6 bhp,20.54 kmpl,5,First,,9.54
8,Land Rover Range Rover Sport HSE,2016,42317,Kochi,Diesel,Automatic,2993 CC,255 bhp,12.65 kmpl,5,First,1.6 Cr,144.87
9,BMW 3 Series 320d Sport,2016,62078,Chennai,Diesel,Automatic,1995 CC,190 bhp,22.69 kmpl,5,Second,,29.69
10,Maruti Alto K10 VXI,2017,40239,Kochi,Petrol,Manual,998 CC,67.1 bhp,24.07 kmpl,5,First,4.09 Lakh,7.83
11,Mercedes-Benz S-Class S 350 d,2014,49071,Bangalore,Diesel,Automatic,2925 CC,281.61 bhp,13.5 kmpl,5,Second,1.71 Cr,60.3
12,Maruti Swift VXi BSIV,2017,11231,Pune,Petrol,Manual,1197 CC,85 bhp,16.1 kmpl,5,First,,10.56
13,Hyundai Grand i10 1.2 Kappa Sportz,2020,8552,Delhi,Petrol,Manual,1197 CC,81.86 bhp,18.9 kmpl,5,First,6.71 Lakh,11.27
14,Mahindra XUV500 W8 4WD,2013,54036,Bangalore,Diesel,Manual,2179 CC,140 bhp,15.1 kmpl,7,Second,,19.37
15,Maruti Celerio ZDi,2017,32544,Kolkata,Diesel,Manual,793 CC,47 bhp,27.62 kmpl,5,First,,6.08
16,Hyundai Accent GLE,2010,63273,Ahmedabad,Petrol,Manual,1495 CC,94 bhp,13.2 kmpl,5,Second,,5.05
17,Hyundai i20 1.4 CRDi Asta,2016,55956,Hyderabad,Diesel,Manual,1396 CC,90 bhp,23.0 kmpl,5,First,,9.64
18,Ford Figo Diesel Titanium,2016,59422,Mumbai,Diesel,Manual,1399 CC,68.05 bhp,20.0 kmpl,5,First,,6.27
19,Maruti Eeco 7 Seater Standard,2017,35112,Mumbai,Petrol,Manual,1196 CC,73 bhp,15.1 kmpl,7,First,4.71 Lakh,5.71
20,Hyundai i20 Asta 1.4 CRDi,2017,93086,Hyderabad,Diesel,Manual,1396 CC,88.73 bhp,22.54 kmpl,5,First,,13.13
21,Honda CR-V 2.0 AT,2021,42630,Kochi,Petrol,Automatic,1997 CC,141.1 bhp,13.1 kmpl,5,First,,33.02
22,Honda Amaze S AT i-Vtech,2017,40811,Pune,Petrol,Automatic,1198 CC,86.7 bhp,15.5 kmpl,5,First,,8.42
23,Hyundai i20 Asta,2013,23831,Chennai,Petrol,Manual,1197 CC,80 bhp,17.0 kmpl,5,First,,9.02
24,BMW 3 Series 320d Highline,2014,72866,Bangalore,Diesel,Automatic,1995 CC,181 bhp,16.07 kmpl,5,First,,47.21
25,Hyundai Verna 1.6 SX VTVT (O),2017,54828,Coimbatore,Petrol,Manual,1591 CC,121.3 bhp,17.1 kmpl,5,First,,16.11
26,Hyundai Grand i10 Asta Option,2016,26807,Pune,Petrol,Manual,1197 CC,82 bhp,18.9 kmpl,5,First,,9.55
27,Maruti Ciaz 1.4 AT Alpha,2021,14079,Hyderabad,Petrol,Automatic,1373 CC,91.1 bhp,19.12 kmpl,5,First,,21.01
28,Jaguar XJ 2.0L Portfolio,2017,11358,Mumbai,Petrol,Automatic,1999 CC,237.4 bhp,9.43 kmpl,5,First,,143.93
29,BMW 3 Series 320d Luxury Line,2017,35736,Mumbai,Diesel,Automatic,1995 CC,184 bhp,18.88 kmpl,5,First,,38.41
30,Toyota Innova Crysta 2.4 ZX MT,2019,40185,Pune,Diesel,Manual,2393 CC,147.8 bhp,13.68 kmpl,7,First,25.52 Lakh,39.45
31,Honda Jazz 1.2 V i VTEC,2019,43294,Kolkata,Petrol,Manual,1199 CC,88.7 bhp,18.7 kmpl,5,First,,9.54
32,Hyundai Verna Transform VTVT,2012,85557,Pune,Petrol,Manual,1599 CC,103.2 bhp,16.2 kmpl,5,First,,5.1
33,Maruti Ritz VDi,2012,112712,Hyderabad,Diesel,Manual,1248 CC,73.9 bhp,21.1 kmpl,5,First,,7
34,Chevrolet Spark 1.0 LS,2009,45913,Kolkata,Petrol,Manual,995 CC,62 bhp,18.0 kmpl,5,First,,2.06
35,Renault KWID RXL,2020,23977,Jaipur,Petrol,Manual,799 CC,53.3 bhp,25.17 kmpl,5,First,3.96 Lakh,4.77
36,Ford Figo Diesel EXI,2012,118169,Chennai,Diesel,Manual,1399 CC,68 bhp,20.0 kmpl,5,Second,,3.89
37,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2016,105083,Pune,Diesel,Automatic,2143 CC,203 bhp,14.21 kmpl,5,First,,48.48
38,Fiat Punto 1.3 Emotion,2013,43476,Pune,Diesel,Manual,,,20.3 kmpl,,First,,5.12
39,Renault KWID 1.0 RXT Optional,2020,58863,Jaipur,Petrol,Manual,999 CC,67 bhp,21.7 kmpl,5,First,4.78 Lakh,6.65
40,Volkswagen Vento Diesel Highline,2013,784906,Chennai,Diesel,Manual,1598 CC,103.6 bhp,20.54 kmpl,5,First,,11.8
41,Maruti Ritz LDi,2018,35777,Delhi,Diesel,Manual,1248 CC,73.94 bhp,23.2 kmpl,5,First,,7.31
42,Mercedes-Benz CLA 200 CDI Sport,2019,14275,Kochi,Diesel,Automatic,2143 CC,136 bhp,17.9 kmpl,5,First,43.07 Lakh,61.19
43,Fiat Linea Emotion (Diesel),2018,33972,Kolkata,Diesel,Manual,1248 CC,91.7 bhp,20.4 kmpl,5,First,,9.21
44,Mahindra Xylo D2 Maxx,2016,136515,Chennai,Diesel,Manual,2489 CC,93.7 bhp,14.95 kmpl,9,First,,8.78
45,Maruti Swift Dzire ZXI,2021,33594,Jaipur,Petrol,Manual,1197 CC,83.14 bhp,20.85 kmpl,5,First,,13.15
46,Honda Brio E MT,2015,15714,Chennai,Petrol,Manual,1198 CC,86.8 bhp,19.4 kmpl,5,First,,8.53
47,Maruti Ignis 1.2 Alpha,2021,1064,Mumbai,Petrol,Manual,1197 CC,81.80 bhp,20.89 kmpl,5,First,7.87 Lakh,13.04
48,Maruti Swift VDI BSIV,2014,56183,Delhi,Diesel,Manual,1248 CC,74 bhp,25.2 kmpl,5,First,,8.67
49,Honda Brio S MT,2017,68939,Coimbatore,Petrol,Manual,1198 CC,86.8 bhp,19.4 kmpl,5,First,,7.81
50,Ford Figo Diesel ZXI,2012,110461,Chennai,Diesel,Manual,1399 CC,68 bhp,20.0 kmpl,5,First,,5.25
51,Tata Indigo CS Emax CNG GLX,2016,38151,Pune,CNG,Manual,1193 CC,55.23 bhp,24.6 km/kg,5,First,,6.93
52,Maruti Swift Dzire ZXi,2015,41664,Delhi,Petrol,Manual,1298 CC,85.8 bhp,17.5 kmpl,5,First,,8.42
53,Ford Fiesta 1.5 TDCi Titanium,2018,130264,Hyderabad,Diesel,Manual,1498 CC,89.75 bhp,25.01 kmpl,5,First,,11.93
54,Toyota Camry Hybrid,2015,34843,Mumbai,Petrol,Automatic,2494 CC,158.2 bhp,19.16 kmpl,5,First,,40.48
55,Hyundai Creta 1.6 CRDi AT SX Plus,2020,12107,Chennai,Diesel,Automatic,1582 CC,126.2 bhp,17.01 kmpl,5,First,,29.69
56,Mahindra Scorpio VLX 2WD AT BSIV,2014,94658,Hyderabad,Diesel,Automatic,2179 CC,120 bhp,11.79 kmpl,8,First,,15.6
57,Mahindra TUV 300 T8,2020,60349,Pune,Diesel,Manual,1493 CC,100 bhp,18.49 kmpl,7,First,,13.43
58,Jaguar XF 2.2 Litre Executive,2017,9727,Delhi,Diesel,Automatic,2179 CC,187.7 bhp,16.36 kmpl,5,First,,91.56
59,Maruti Alto K10 2010-2014 VXI,2014,72977,Hyderabad,Petrol,Manual,998 CC,67.1 bhp,20.92 kmpl,5,First,,4.6
60,Mitsubishi Pajero Sport 4X4,2016,70711,Jaipur,Diesel,Manual,2477 CC,175.56 bhp,13.5 kmpl,7,Second,33.21 Lakh,24.77
61,Hyundai Xcent 1.2 Kappa S Option,2017,42437,Kolkata,Petrol,Manual,1197 CC,81.86 bhp,19.1 kmpl,5,First,,6.66
